sample,length
A,336
A,337
A,338
A,351
A,352
A,353
A,354
A,357
A,402
A,403
A,404
A,405
A,553
A,554
A,2759
A,2760
A,2762
A,2763
A,2764
A,2765
A,2767
A,2768
A,2770
A,2771
A,2772
A,2774
A,2775
A,2776
A,2777
A,2779
A,2780
A,2782
A,2784
A,2787
A,2788
A,2789
A,2791
A,2793
A,2794
A,2795
A,2797
A,2799
A,2800
A,2802
A,2803
A,2804
A,2806
A,2807
A,2808
A,2809
A,2810
A,2811
A,2812
A,555
A,556
A,2813
A,2815
A,2816
A,2819
A,2821
A,2823
A,2825
A,2826
A,2827
A,2830
A,2831
A,2832
A,2833
A,2834
A,2836
A,2838
A,2839
A,2840
A,2841
A,2843
A,2844
A,2845
A,2846
A,2847
A,2848
A,2849
A,2850
A,2851
A,2852
A,2854
A,2855
A,2857
A,2858
A,2860
A,2862
A,2865
A,2866
A,2867
A,2868
A,2871
A,2872
A,2873
A,2877
A,2878
A,2879
A,2880
A,2881
A,2882
A,2885
A,2887
A,2889
A,2891
A,2893
A,2894
A,2895
A,2896
A,2897
A,2900
A,2904
A,2905
A,2906
A,558
A,2908
A,2910
A,2913
A,2914
A,2915
A,2916
A,2918
A,2919
A,2921
A,2922
A,2923
A,2925
A,2927
A,2928
A,2929
A,2930
A,2931
A,2932
A,2933
A,2936
A,2938
A,2939
A,2940
A,2941
A,2942
A,2944
A,2945
A,2946
A,2947
A,2949
A,2950
A,2951
A,2952
A,2953
A,2954
A,2956
A,2959
A,2960
A,2961
A,2963
A,2964
A,2966
A,2967
A,559
A,560
A,2968
A,2970
A,2972
A,2973
A,2975
A,2977
A,2982
A,2984
A,2985
A,2986
A,2988
A,2990
A,2992
A,2993
A,2994
A,2996
A,2999
A,3001
A,3002
A,3005
A,3006
A,3007
A,3008
A,3009
A,3010
A,3011
A,3012
A,3013
A,3014
A,3015
A,3016
A,3017
A,3018
A,3023
A,3024
A,3025
A,3026
A,3028
A,3032
A,3033
A,3035
A,3036
A,3037
A,561
A,3039
A,3040
A,3043
A,3044
A,3045
A,3046
A,3047
A,3048
A,3050
A,3051
A,3052
A,3053
A,3054
A,3055
A,3056
A,3057
A,3059
A,3060
A,3061
A,3063
A,3064
A,3065
A,3066
A,3068
A,3070
A,3071
A,3073
A,3074
A,3075
A,3077
A,3080
A,3081
A,3082
A,3083
A,3084
A,3085
A,3087
A,3088
A,3091
A,3092
A,3093
A,3095
A,3096
A,3099
A,3102
A,3104
A,3105
A,3107
A,3109
A,3111
A,3112
A,3113
A,3114
A,3115
A,3118
A,3119
A,3120
A,3121
A,3122
A,3123
A,3124
A,3125
A,3126
A,3127
A,3129
A,3131
A,3135
A,3137
A,3138
A,3139
A,3141
A,3143
A,3144
A,3145
A,3146
A,3150
A,3152
A,3153
A,3154
A,3158
A,3160
A,3162
A,3166
A,3167
A,3169
A,3170
A,3171
A,3173
A,3175
A,3176
A,562
A,3177
A,3178
A,3180
A,3181
A,3182
A,3183
A,3184
A,3187
A,3188
A,3189
A,3192
A,3195
A,3197
A,3199
A,3200
A,3203
A,3204
A,3205
A,3206
A,3207
A,3208
A,3209
A,3211
A,3217
A,3218
A,3219
A,3220
A,3222
A,3225
A,3226
A,3228
A,3229
A,3231
A,3234
A,3235
A,3238
A,3239
A,3240
A,3241
A,3242
A,3243
A,3246
A,563
A,564
A,3247
A,3249
A,3250
A,3251
A,3252
A,3255
A,3256
A,3258
A,3260
A,3261
A,3262
A,3264
A,3265
A,3267
A,3268
A,3270
A,3271
A,3273
A,3274
A,3275
A,3276
A,3278
A,3281
A,3282
A,3283
A,3286
A,3287
A,3288
A,3290
A,3293
A,3295
A,3296
A,3298
A,3299
A,3300
A,3301
A,3303
A,3304
A,3307
A,3308
A,3309
A,565
A,566
A,3314
A,3318
A,3322
A,3323
A,3324
A,3328
A,3332
A,3333
A,3334
A,3335
A,3337
A,3338
A,3340
A,3342
A,3344
A,3345
A,3350
A,3351
A,3353
A,3354
A,3356
A,3357
A,3358
A,3359
A,3360
A,3365
A,3366
A,3367
A,3368
A,3369
A,3370
A,3371
A,3373
A,3374
A,3375
A,3376
A,3378
A,3379
A,3381
A,3382
A,406
A,407
A,408
A,567
A,568
A,3385
A,3387
A,3388
A,3389
A,3391
A,3392
A,3394
A,3395
A,3398
A,3401
A,3404
A,3405
A,3406
A,3407
A,3408
A,3411
A,3413
A,3415
A,3416
A,3417
A,3418
A,3419
A,3420
A,3425
A,3427
A,3428
A,3429
A,3432
A,3435
A,3437
A,3438
A,3442
A,3443
A,3444
A,3445
A,3447
A,3449
A,3452
A,3453
A,569
A,570
A,571
A,3455
A,3457
A,3459
A,3460
A,3461
A,3462
A,3463
A,3464
A,3465
A,3468
A,3471
A,3472
A,3473
A,3476
A,3477
A,3478
A,3480
A,3481
A,3482
A,3483
A,3484
A,3488
A,3489
A,3492
A,3493
A,3494
A,3495
A,3496
A,3497
A,3498
A,3499
A,3500
A,3502
A,3503
A,3507
A,3508
A,3510
A,3511
A,3512
A,3515
A,3517
A,3518
A,3519
A,3526
A,3527
A,3528
A,3531
A,3534
A,3535
A,3536
A,3539
A,3541
A,3543
A,3544
A,3546
A,3549
A,3550
A,3551
A,3552
A,3556
A,3559
A,3562
A,3563
A,3564
A,3565
A,3567
A,3569
A,3570
A,3573
A,3575
A,3576
A,3577
A,3579
A,3580
A,3581
A,3584
A,3586
A,3590
A,3592
A,3593
A,3595
A,3596
A,3597
A,3599
A,3601
A,3603
A,3605
A,3606
A,3607
A,3610
A,3612
A,3613
A,3614
A,3615
A,3616
A,3618
A,3619
A,3620
A,3621
A,3622
A,3624
A,3625
A,3626
A,3630
A,3632
A,3634
A,3638
A,3640
A,3641
A,3643
A,3644
A,3649
A,3651
A,3653
A,3655
A,3656
A,3659
A,3662
A,3663
A,3664
A,3665
A,3666
A,3668
A,3669
A,3670
A,3671
A,3672
A,3673
A,3674
A,3676
A,3678
A,3679
A,572
A,573
A,3681
A,3682
A,3685
A,3688
A,3689
A,3691
A,3692
A,3696
A,3697
A,3699
A,3700
A,3703
A,3705
A,3706
A,3707
A,3709
A,3710
A,3713
A,3715
A,3718
A,3719
A,3720
A,3723
A,3724
A,3725
A,3726
A,3729
A,3730
A,3731
A,3734
A,3737
A,3738
A,3739
A,3742
A,3744
A,3745
A,3746
A,3748
A,3749
A,574
A,3751
A,3752
A,3754
A,3755
A,3756
A,3760
A,3762
A,3763
A,3764
A,3766
A,3769
A,3770
A,3771
A,3772
A,3774
A,3776
A,3780
A,3783
A,3787
A,3789
A,3791
A,3792
A,3793
A,3794
A,3795
A,3796
A,3798
A,3799
A,3800
A,3801
A,3803
A,3806
A,3808
A,3809
A,3810
A,3812
A,3816
A,3817
A,3818
A,3823
A,3827
A,3828
A,3829
A,3830
A,3831
A,3832
A,3833
A,3835
A,3837
A,3838
A,3839
A,3841
A,3842
A,3844
A,3847
A,3848
A,3850
A,3852
A,3853
A,3854
A,3856
A,3857
A,3858
A,3862
A,3863
A,3864
A,3868
A,3871
A,3872
A,3873
A,3875
A,3876
A,3878
A,3879
A,3880
A,3881
A,3882
A,3884
A,3885
A,3886
A,3887
A,3888
A,575
A,3890
A,3891
A,3893
A,3894
A,3895
A,3897
A,3898
A,3901
A,3902
A,3903
A,3905
A,3906
A,3907
A,3908
A,3909
A,3910
A,3911
A,3914
A,3917
A,3918
A,3919
A,3920
A,3923
A,3924
A,3927
A,3933
A,3936
A,3938
A,3945
A,3947
A,3948
A,3950
A,3951
A,3952
A,3954
A,3956
A,3958
A,3959
A,3960
A,3961
A,3963
A,3964
A,3965
A,576
A,3966
A,3967
A,3968
A,3971
A,3974
A,3975
A,3977
A,3980
A,3981
A,3984
A,3986
A,3987
A,3989
A,3991
A,3992
A,3993
A,3994
A,3996
A,3997
A,3998
A,4001
A,4002
A,4003
A,4004
A,4005
A,4008
A,4009
A,4010
A,4011
A,4012
A,4013
A,4014
A,4015
A,4017
A,4018
A,4021
A,4022
A,4023
