rank,year,rating,genero,genre2,genre3
1,1994,9.3,Drama,Others,Others
2,1972,9.2,Crime,Drama,Others
3,2008,9.0,Action,Crime,Drama
4,1974,9.0,Crime,Drama,Others
5,1957,9.0,Crime,Drama,Others
6,1993,9.0,Biography,Drama,History
7,2003,9.0,Action,Adventure,Drama
8,1994,8.9,Crime,Drama,Others
9,2001,8.8,Action,Adventure,Drama
10,1966,8.8,Adventure,Western,Others
11,1994,8.8,Drama,Romance,Others
12,1999,8.8,Drama,Others,Others
13,2002,8.8,Action,Adventure,Drama
14,2010,8.8,Action,Adventure,Sci-Fi
15,1980,8.7,Action,Adventure,Fantasy
16,1999,8.7,Action,Sci-Fi,Others
17,1990,8.7,Biography,Crime,Drama
18,1975,8.7,Drama,Others,Others
19,1995,8.6,Crime,Drama,Mystery
20,1954,8.6,Action,Drama,Others
21,1946,8.6,Drama,Family,Fantasy
22,1991,8.6,Crime,Drama,Thriller
23,2002,8.6,Crime,Drama,Others
24,1998,8.6,Drama,War,Others
25,2014,8.6,Adventure,Drama,Sci-Fi
26,1997,8.6,Comedy,Drama,Romance
27,1999,8.6,Crime,Drama,Fantasy
28,1977,8.6,Action,Adventure,Fantasy
29,1991,8.6,Action,Sci-Fi,Others
30,1985,8.5,Adventure,Comedy,Sci-Fi
31,2001,8.6,Animation,Adventure,Family
32,2002,8.5,Biography,Drama,Music
33,1960,8.5,Others,Mystery,Thriller
34,2019,8.5,Drama,Thriller,Others
35,1994,8.5,Action,Crime,Drama
36,1994,8.5,Animation,Adventure,Drama
37,2000,8.5,Action,Adventure,Drama
38,1998,8.5,Crime,Drama,Others
39,2006,8.5,Crime,Drama,Thriller
40,1995,8.5,Crime,Drama,Mystery
41,2006,8.5,Drama,Mystery,Sci-Fi
42,2014,8.5,Drama,Music,Others
43,1942,8.5,Drama,Romance,War
44,1988,8.5,Animation,Drama,War
45,1962,8.6,Action,Drama,Mystery
46,2011,8.5,Biography,Comedy,Drama
47,1936,8.5,Comedy,Drama,Romance
48,1968,8.5,Others,Others,Others
49,1954,8.5,Others,Thriller,Others
50,1988,8.5,Drama,Romance,Others
51,1979,8.5,Others,Sci-Fi,Others
52,1931,8.5,Comedy,Drama,Romance
53,1979,8.5,Drama,Mystery,War
54,2000,8.4,Others,Thriller,Others
55,2012,8.4,Drama,Western,Others
56,1981,8.4,Action,Adventure,Others
57,2008,8.4,Animation,Adventure,Family
58,2006,8.4,Drama,Mystery,Thriller
59,1950,8.4,Drama,Film-Noir,Others
60,1957,8.4,Drama,War,Others
61,1980,8.4,Drama,Horror,Others
62,1940,8.4,Comedy,Drama,War
63,2018,8.4,Action,Adventure,Sci-Fi
64,1957,8.4,Crime,Drama,Mystery
65,1986,8.4,Action,Adventure,Sci-Fi
66,2018,8.4,Animation,Action,Adventure
67,1999,8.4,Drama,Others,Others
68,1964,8.4,Comedy,War,Others
69,2012,8.4,Action,Drama,Others
70,2003,8.4,Action,Drama,Mystery
71,2009,8.3,Adventure,Drama,War
72,1984,8.4,Biography,Drama,Music
73,2017,8.4,Animation,Adventure,Comedy
74,1995,8.3,Animation,Adventure,Comedy
75,2019,8.4,Crime,Drama,Thriller
76,1995,8.4,Biography,Drama,History
77,1981,8.4,Drama,War,Others
78,2019,8.4,Action,Adventure,Drama
79,1997,8.4,Animation,Action,Adventure
80,1984,8.3,Crime,Drama,Others
81,1997,8.3,Drama,Romance,Others
82,2016,8.4,Animation,Drama,Fantasy
83,2009,8.4,Comedy,Drama,Others
84,1952,8.3,Comedy,Musical,Romance
85,2000,8.3,Drama,Others,Others
86,2010,8.3,Animation,Adventure,Comedy
87,1963,8.4,Crime,Drama,Mystery
88,2018,8.4,Drama,Others,Others
89,1983,8.3,Action,Adventure,Fantasy
90,2004,8.3,Drama,Romance,Sci-Fi
91,1968,8.3,Adventure,Sci-Fi,Others
92,1992,8.3,Crime,Thriller,Others
93,1985,8.4,Drama,Thriller,War
94,2012,8.3,Drama,Others,Others
95,1941,8.3,Drama,Mystery,Others
96,1931,8.3,Crime,Mystery,Thriller
97,1962,8.3,Adventure,Biography,Drama
98,1959,8.3,Action,Adventure,Mystery
99,1958,8.3,Others,Romance,Thriller
100,1952,8.3,Drama,Others,Others
101,2001,8.3,Comedy,Romance,Others
102,1960,8.3,Comedy,Drama,Romance
103,1971,8.3,Crime,Sci-Fi,Others
104,1944,8.3,Crime,Drama,Film-Noir
105,1987,8.3,Drama,War,Others
106,2022,8.3,Action,Drama,Others
107,1983,8.3,Crime,Drama,Others
108,2020,8.4,Biography,Drama,History
109,2010,8.3,Drama,Mystery,Others
110,1962,8.3,Crime,Drama,Others
111,1995,8.3,Action,Crime,Drama
112,1973,8.3,Comedy,Crime,Drama
113,2009,8.3,Animation,Adventure,Comedy
114,2011,8.3,Drama,Others,Others
115,1927,8.3,Drama,Sci-Fi,Others
116,1976,8.2,Crime,Drama,Others
117,1997,8.2,Crime,Drama,Mystery
118,1988,8.2,Action,Thriller,Others
119,2000,8.2,Comedy,Crime,Others
120,1989,8.2,Action,Adventure,Others
121,1948,8.3,Drama,Others,Others
122,2007,8.3,Drama,Family,Others
123,2019,8.2,Action,Drama,War
124,2004,8.2,Biography,Drama,History
125,2016,8.3,Action,Biography,Drama
126,1965,8.2,Others,Others,Others
127,2005,8.2,Action,Crime,Drama
128,1921,8.3,Comedy,Drama,Family
129,1959,8.2,Comedy,Music,Romance
130,2020,8.2,Drama,Mystery,Others
131,1950,8.2,Drama,Others,Others
132,2013,8.2,Biography,Comedy,Crime
133,2018,8.2,Biography,Comedy,Drama
134,1961,8.3,Drama,War,Others
135,1995,8.2,Crime,Drama,Others
136,1985,8.2,Action,Drama,War
137,2006,8.2,Drama,Fantasy,War
138,1998,8.2,Comedy,Drama,Others
139,2007,8.2,Drama,Others,Others
140,1992,8.2,Drama,Western,Others
141,1999,8.2,Drama,Mystery,Thriller
142,2010,8.2,Others,Thriller,Others
143,2001,8.2,Biography,Drama,Others
144,1993,8.2,Action,Adventure,Sci-Fi
145,1961,8.2,Action,Drama,Thriller
146,1948,8.2,Adventure,Drama,Western
147,1975,8.2,Adventure,Comedy,Fantasy
148,1963,8.2,Adventure,Drama,History
149,2007,8.2,Crime,Drama,Thriller
150,2021,8.2,Action,Adventure,Fantasy
151,2003,8.2,Action,Crime,Drama
152,1950,8.2,Crime,Drama,Mystery
153,1982,8.2,Others,Mystery,Sci-Fi
154,2003,8.2,Animation,Adventure,Comedy
155,1980,8.2,Biography,Drama,Others
156,1974,8.2,Drama,Mystery,Thriller
157,1980,8.2,Biography,Drama,Sport
158,2005,8.2,Action,Drama,Sci-Fi
159,1939,8.2,Drama,Romance,War
160,1998,8.2,Action,Comedy,Crime
161,2015,8.2,Animation,Adventure,Comedy
162,1954,8.2,Crime,Thriller,Others
163,2009,8.2,Drama,Mystery,Romance
164,2004,8.2,Animation,Adventure,Family
165,2017,8.1,Comedy,Crime,Drama
166,1957,8.2,Adventure,Drama,War
167,1996,8.1,Drama,Others,Others
168,2013,8.1,Crime,Drama,Mystery
169,2011,8.2,Action,Drama,Sport
170,1996,8.1,Crime,Thriller,Others
171,2008,8.1,Drama,Others,Others
172,1988,8.1,Animation,Comedy,Family
173,2002,8.1,Biography,Crime,Drama
174,2004,8.1,Drama,Sport,Others
175,1997,8.2,Drama,Family,Sport
176,1982,8.1,Action,Drama,Sci-Fi
177,1925,8.1,Adventure,Comedy,Drama
178,1995,8.1,Drama,Romance,Others
179,2013,8.1,Biography,Drama,History
180,2019,8.2,Animation,Adventure,Comedy
181,2011,8.1,Adventure,Family,Fantasy
182,1954,8.1,Crime,Drama,Thriller
183,1959,8.1,Adventure,Drama,Others
184,2014,8.1,Drama,Mystery,Thriller
185,2014,8.1,Adventure,Comedy,Crime
186,1957,8.1,Drama,Romance,Others
187,1926,8.1,Action,Adventure,Comedy
188,1949,8.1,Others,Mystery,Thriller
189,1993,8.1,Biography,Crime,Drama
190,1978,8.1,Drama,War,Others
191,1975,8.1,Adventure,Drama,War
192,2016,8.1,Biography,Drama,History
193,1953,8.2,Adventure,Drama,Thriller
194,2003,8.1,Crime,Drama,Mystery
195,1924,8.2,Action,Comedy,Romance
196,2014,8.1,Comedy,Drama,Thriller
197,1939,8.1,Comedy,Drama,Others
198,2015,8.1,Action,Adventure,Sci-Fi
199,1957,8.1,Drama,Fantasy,Others
200,2009,8.1,Animation,Comedy,Drama
201,2010,8.1,Animation,Action,Adventure
202,2015,8.1,Drama,Thriller,Others
203,2001,8.1,Animation,Adventure,Comedy
204,1975,8.1,Adventure,Thriller,Others
205,1989,8.1,Comedy,Drama,Others
206,1998,8.1,Comedy,Crime,Others
207,1953,8.2,Drama,Others,Others
208,1928,8.2,Biography,Drama,History
209,2004,8.1,Biography,Drama,History
210,2019,8.1,Action,Biography,Drama
211,1976,8.1,Drama,Sport,Others
212,1986,8.1,Drama,War,Others
213,2007,8.1,Animation,Adventure,Comedy
