categ,A,B,C,D,E,F
A,200,200,200,200,200,200
A,164,81,44,37,179,71
A,129,98,45,20,191,86
A,159,89,43,70,182,89
A,120,43,67,48,183,108
A,133,108,76,32,186,62
A,167,93,53,43,180,84
A,126,109,97,63,187,100
A,138,105,72,46,177,119
A,183,86,87,73,193,120
A,180,94,91,61,174,89
A,129,42,79,37,155,64
A,157,85,67,40,190,106
A,185,66,91,46,172,98
A,148,61,43,68,188,88
A,122,91,40,62,172,72
A,184,99,58,30,166,77
A,121,50,97,65,178,81
A,129,50,79,23,184,110
A,172,105,73,34,181,93
A,183,63,66,46,178,108
A,184,71,88,53,184,117
A,159,98,41,65,194,67
A,130,53,75,60,193,110
A,155,106,75,35,172,76
A,154,71,40,47,159,66
A,174,69,56,73,199,95
A,147,48,48,26,177,66
A,178,47,45,62,168,90
A,146,101,93,31,163,100
A,170,92,68,67,170,102
A,133,102,47,57,185,63
A,145,58,66,33,185,77
A,123,87,61,68,158,98
A,154,86,84,34,193,65
A,165,100,65,79,178,109
A,173,81,62,73,154,88
A,134,56,51,52,199,100
A,192,54,59,26,177,66
A,185,98,51,45,152,87
A,148,67,51,60,187,92
A,168,59,87,75,171,73
A,186,88,77,56,188,108
A,162,107,80,36,164,79
A,176,71,68,53,171,75
A,179,110,58,41,160,81
A,144,68,61,78,172,95
A,191,106,44,80,182,63
A,191,71,85,59,181,63
A,124,53,61,21,156,71
A,163,96,62,73,173,76
B,147,81,77,58,197,79
B,121,85,75,22,191,74
B,172,91,76,43,197,72
B,145,50,78,38,197,103
B,176,91,75,51,179,119
B,132,110,47,56,193,89
B,184,77,67,59,166,79
B,192,51,98,62,180,110
B,136,75,67,27,153,91
B,132,79,72,62,156,95
B,139,43,42,69,180,118
B,157,61,98,36,188,118
B,197,54,43,59,192,107
B,138,84,55,32,192,118
B,148,79,87,31,193,117
B,134,81,54,59,151,107
B,155,48,95,51,198,109
B,193,62,69,61,162,98
B,148,44,70,52,156,93
B,176,67,90,72,192,103
B,191,92,75,30,175,107
B,120,42,78,31,151,74
B,200,103,93,47,159,97
B,127,84,79,30,153,92
B,122,55,55,45,188,83
B,144,71,78,24,153,100
B,193,78,94,50,156,71
B,131,50,88,44,184,112
B,149,72,52,20,200,70
B,174,54,67,44,170,99
B,147,54,60,66,159,64
B,191,101,66,47,176,78
B,145,69,46,27,183,104
B,138,44,83,42,175,101
B,144,49,59,22,167,97
B,175,55,45,51,184,75
B,135,54,82,72,182,89
B,136,106,80,67,194,110
B,161,108,41,41,168,108
B,200,62,40,39,195,112
B,131,109,82,42,153,62
B,180,48,46,67,191,105
B,180,85,52,46,158,86
B,180,45,78,54,155,86
B,164,61,46,49,163,107
B,160,51,44,23,193,68
B,145,104,85,62,168,114
B,173,78,65,75,176,98
B,183,41,53,39,169,74
B,177,44,63,58,154,89
B,20,20,20,20,20,20
