dim1,dim2
288595,8147
288624,70594
288642,923945
288643,374327
288648,73571
288652,850107
288656,432838
288665,829455
288667,250293
288673,121047
288675,517715
288675,152674
288676,804602
288691,45396
288694,23763
288695,33292
288697,375494
288706,231482
288717,39631
288739,82703
288744,350479
288744,265939
288745,768315
288745,687825
288759,729224
288782,439676
288790,154574
288825,809271
288834,535227
288849,145919
288874,201842
288905,348928
288914,621972
288915,607572
288917,17408
288919,193442
288937,808301
288971,625265
288976,251343
288987,824484
288994,302301
288994,894409
289007,652782
289010,329987
289011,195328
289011,521523
289039,899257
289039,452165
289046,816294
289048,337571
289050,637085
289055,348464
289080,210111
289096,552445
289105,509749
289108,818286
289110,234053
289115,11496
289116,316669
289122,442429
289124,939512
289142,2913
289151,91326
289154,165195
289159,74777
289166,241448
289197,254592
289224,799135
289235,679822
289265,170028
289265,36874
289266,245418
289269,417856
289272,339033
289285,639323
289286,585169
289296,370121
289296,34201
289300,904603
289301,79479
289304,712259
289306,770018
289310,81805
289312,890917
289335,182896
289337,904142
289338,882306
289347,44518
289368,180182
289373,231683
289377,83172
289378,903442
289378,313013
289394,836241
289427,545383
289431,497935
289437,800316
289454,86167
289466,4257
289476,486796
289489,625678
289493,427808
289493,737224
289511,837707
289516,190665
289520,475054
289532,499403
289552,268844
289552,646313
289556,829589
289558,90255
289567,444435
289570,80104
289574,921157
289577,71023
289580,76518
289581,885585
289589,168789
289598,433861
289600,866961
289602,578688
289626,426448
289631,726847
289656,468149
289659,102439
289669,67837
289679,440246
289705,555381
289710,609061
289717,83043
289744,357415
289745,536009
289750,895916
289786,453992
289789,407058
289790,881335
289791,355178
289795,382793
289803,381949
289830,928364
289837,503661
289850,639722
289853,325198
289853,701099
289853,477708
289859,123348
289874,541585
289878,292593
289892,260014
289895,875754
289903,152489
289919,545844
289921,429492
289929,835528
289955,358745
289958,666084
289966,158431
289981,282528
289993,661719
289999,925768
290007,560127
290013,315564
290024,912015
290033,429982
290034,628477
290035,547633
290044,378536
290047,814631
290051,818227
290059,61733
290064,83803
290066,50584
290072,640848
290093,176063
290129,76261
290129,629602
290147,715482
290147,27926
290157,302697
290177,754499
290177,402187
290179,352866
290180,25911
290190,372068
290190,528377
290197,341409
290220,655672
290236,109983
290243,814221
290252,919915
290259,430671
290263,615201
290265,724172
290266,69974
290268,746069
290272,469044
290289,71676
290368,769502
290376,91746
290397,34774
290402,59654
290412,710576
290413,410359
290441,354487
290461,620542
290464,851884
290465,643375
290476,89625
290488,711848
290503,136503
290505,611429
290510,65113
290525,812434
290527,216486
290545,468824
290549,939062
290560,906787
290568,248904
290580,829413
290594,407956
290604,123888
290605,929642
290609,118324
290626,260634
290630,353187
290641,462261
290645,605611
290648,431406
290655,65524
290687,249901
290696,822515
290711,568495
290738,615686
290739,96479
290760,216379
290774,730499
290777,707337
290780,339153
290784,86589
290788,715383
290803,786484
290811,904801
290819,694051
290836,93554
290847,799885
290849,814684
290850,613222
290860,70876
290870,66598
290873,77676
290880,65025
290882,165301
290900,266675
290900,704435
290913,455542
290913,153663
290921,814636
290922,438783
290927,148893
290927,476742
290944,108195
290950,855546
290968,103885
290976,637042
290994,550066
291001,483972
291003,824721
291011,756746
291018,356078
291024,437078
291025,916956
291035,734098
291039,547812
291042,308408
291045,730376
291062,359744
291063,604002
291066,872118
291083,313035
291096,480689
291103,239246
291118,924609
291123,937429
291141,200669
291162,249377
291170,516305
291181,35245
291198,435615
291207,265724
291238,152814
291247,24814
291250,615162
291253,161793
291278,948406
291280,336697
291287,552574
291288,535209
291293,551573
291296,938603
291297,864829
291305,621835
291306,25423
291320,527565
291336,191223
291337,143914
291337,644163
291338,467177
291343,741221
291362,816827
291382,821752
291405,283512
291411,680553
291418,834509
291422,14429
291425,653743
291430,234477
291430,55849
291432,357309
291437,56558
291440,243088
291475,253704
291507,819001
291527,830071
291538,440941
291538,376394
291546,243845
291549,925783
291550,348363
291558,652469
291587,280629
291602,71564
291608,259595
291608,526438
291613,428448
291630,262641
291633,718052
291635,861697
291642,56651
291666,877688
291691,697659
291695,924122
291703,458456
291703,231451
291709,375138
291710,816298
291712,622145
291726,157869
291740,620809
291764,794852
291799,376632
291807,3885
291832,739109
291860,805365
291864,352568
291888,364634
291893,550445
291895,30871
291920,5343
291922,811342
291926,34565
291951,498079
291984,90574
291994,88592
292002,799368
292006,823775
292008,889157
292008,325224
292017,741008
292082,89808
292085,924359
292105,61703
292105,648949
292135,589067
292136,156353
292159,365396
292171,48897
292190,76012
292193,519243
292199,320456
292204,649553
292218,923287
292228,528417
292241,90581
292245,181589
292249,188182
292258,281111
292265,8195
292269,185735
292290,565557
292312,538066
292329,264509
292344,516736
