mass,recclass,year,reclat,reclong
21,L5,1880,50.775000,6.083330
720,H6,1951,56.183330,10.233330
780,L6,1902,-33.166670,-64.950000
30000,H5,1814,44.216670,0.616670
1620,L6,1930,-31.600000,-65.233330
24000,L6,1925,19.083330,8.383330
779,L6,1949,29.516670,35.050000
1800,H4,1838,29.716670,77.950000
700,LL5,2001,13.660330,28.960000
700,LL5,1835,51.783330,-1.783330
3200,L6,1873,36.233330,37.133330
908,H5,1860,44.883330,8.750000
9251,H4,1900,50.950000,31.816670
228000,L6,1883,45.266670,10.150000
32000,H5,1899,42.533330,-85.883330
6000,LL5,1977,35.273330,44.215560
6400,H5,1895,27.666670,78.250000
3200,L6,1898,44.616670,-70.750000
17900,H6,1939,20.883330,76.866670
256.8,L5,null,0.000000,0.000000
null,L6,1822,47.466670,-0.550000
6500,H4,1942,9.533330,39.716670
2500,H5,1971,25.150000,105.183330
320,L6,1984,40.810560,140.785560
15000,LL6,1914,53.583330,-2.716670
3200,L6,1803,43.866670,5.383330
810,H5,1954,-33.000000,-66.000000
5070,H6,1932,38.500000,-94.300000
7450,H5,1950,-31.416670,-60.666670
41,H6,1805,42.450000,9.033330
9500,L6,2009,31.805000,-97.010000
1300,L6,1923,52.050000,0.300000
2000,H5,1886,43.033330,12.550000
1280,L4,1920,25.254170,80.625000
94.2,L6,1896,20.066670,-103.666670
265,LL6,1933,34.750000,-87.000000
1384.2,L6,1945,34.316670,-96.150000
50000,L6,1865,36.166670,3.666670
2000,L6,1842,44.333330,3.233330
50000,L5,1858,43.083330,0.583330
9330,H4,1952,-21.460280,-49.950830
134,L4,1968,2.716670,32.833330
2830,L6,1938,36.800000,-108.000000
18000,L6,1814,48.600000,38.000000
3700,L4,1929,35.966670,-82.483330
345,L6,1922,34.500000,-88.666670
11500,LL6,1871,-6.916670,107.600000
15000,L6,1892,27.700000,76.333330
14,L5,1913,30.400000,78.200000
6400,H5,1790,43.950000,-0.050000
23.2,H5,1904,52.733330,84.083330
4500,L6,1910,31.616670,76.800000
44000,L5,1965,52.565280,-1.339720
29560,H5,2006,15.783330,-5.900000
15500,L5,1994,52.033330,20.935830
21000,H4,1892,45.416670,-98.316670
86000,L6,1902,38.250000,-83.750000
2900,L6,2012,40.668130,-117.189130
1557,LL5,1989,11.083330,-0.183330
611,L6,1916,36.750000,-93.500000
16000,H5,1929,39.800000,-101.200000
14000,H5,1893,51.166670,-117.333330
794,H5,1949,53.016670,-4.100000
25000,LL6,2004,32.250000,-8.150000
19000,L6,2001,32.866670,10.800000
1770.5,H6,1938,39.083330,-89.150000
3880,H6,1943,-26.166670,28.416670
45000,LL6,2002,30.000000,-7.000000
2840,LL6,1949,45.950000,-67.550000
270,L6,2008,-31.910000,-58.328330
1440,L6,1811,41.683330,-3.800000
