continent,total_cases
Asia,5
Asia,5
Asia,5
Asia,5
Asia,5
Asia,5
Asia,5
Asia,5
Asia,5
Asia,5
Asia,5
Asia,5
Asia,8
Asia,8
Asia,8
Asia,8
Asia,11
Asia,11
Asia,11
Asia,14
Asia,20
Asia,25
Asia,26
Asia,26
Asia,26
Asia,24
Asia,24
Asia,34
Asia,40
Asia,42
Asia,74
Asia,80
Asia,91
Asia,106
Asia,114
Asia,114
Asia,166
Asia,192
Asia,235
Asia,269
Asia,270
Asia,299
Asia,337
Asia,367
Asia,423
Asia,444
Asia,521
Asia,521
Asia,555
Asia,607
Asia,665
Asia,770
Asia,794
Asia,845
Asia,908
Asia,933
Asia,996
Asia,1026
Asia,1092
Asia,1176
Asia,1226
Asia,1330
Asia,1463
Asia,1531
Asia,1703
Asia,1827
Asia,1827
Asia,2171
Asia,2469
Asia,2469
Asia,2469
Asia,2469
Asia,3224
Asia,3392
Asia,3563
Asia,3563
Asia,4402
Asia,4664
Asia,4967
Asia,4967
Asia,5339
Asia,6053
Asia,6402
Asia,6635
Asia,7072
Asia,7655
Asia,8145
Asia,8676
Asia,9216
Asia,9952
Asia,10668
Asia,11180
Asia,11917
Asia,12465
Asia,13102
Asia,13745
Asia,14529
Asia,15180
Asia,15836
Asia,16578
Asia,17353
Asia,17977
Asia,19055
Asia,19637
Asia,20428
Asia,21003
Asia,21308
Asia,22228
Asia,22976
Asia,23632
Asia,24188
Asia,24852
Asia,25613
Asia,25719
Asia,26960
Asia,27423
Asia,27964
Asia,28383
Asia,28919
Asia,29229
Asia,29567
Asia,29726
Asia,30261
Asia,30346
Asia,30702
Asia,31053
Asia,31324
Asia,31445
Asia,31848
Asia,32108
Asia,32410
Asia,32758
Asia,33037
Asia,33150
Asia,33470
Asia,33680
Asia,33739
Asia,34280
Asia,34437
Asia,34537
Asia,34541
Asia,34826
Asia,35026
Asia,35156
Asia,35315
Asia,35375
Asia,35561
Asia,35595
Asia,35701
Asia,35813
Asia,36001
Asia,36067
Asia,36122
Asia,36243
Asia,36349
Asia,36454
Asia,36557
Asia,36628
Asia,36628
Asia,36796
Asia,36796
Asia,36796
Asia,36833
Asia,36915
Asia,36982
Asia,37023
Asia,37101
Asia,37140
Asia,37140
Asia,37355
Asia,37431
Asia,37510
Asia,37517
Asia,37637
Asia,37682
Asia,37682
Asia,37685
Asia,37685
Asia,37845
Asia,37942
Asia,37980
Asia,38039
Asia,38085
Asia,38156
Asia,38199
Asia,38215
Asia,38226
Asia,38229
Asia,38229
Asia,38248
Asia,38282
Asia,38329
Asia,38374
Asia,38374
Asia,38390
Asia,38484
Asia,38580
Asia,38606
Asia,38630
Asia,38658
Asia,38692
Asia,38727
Asia,38802
Asia,38858
Asia,38901
Asia,38941
Asia,38958
Asia,38969
Asia,39005
Asia,39130
Asia,39160
Asia,39182
Asia,39231
Asia,39256
Asia,39272
Asia,39278
Asia,39313
Asia,39325
Asia,39340
Asia,39354
Asia,39371
Asia,39376
Asia,39383
Asia,39427
Asia,39508
Asia,39572
Asia,39634
Asia,39702
Asia,39779
Asia,39789
Asia,39885
Asia,39956
Asia,40014
Asia,40080
Asia,40112
Asia,40159
Asia,40227
Asia,40286
Asia,40373
Asia,40461
Asia,40461
Asia,40510
Asia,40626
Asia,40687
Asia,40768
Asia,40833
Asia,40937
Asia,41032
Asia,41145
Asia,41268
Asia,41334
Asia,41425
Asia,41501
Asia,41633
Asia,41728
Asia,41814
Asia,41935
Asia,41975
Asia,42033
Asia,42159
Asia,42297
Asia,42463
Asia,42609
Asia,42795
Asia,42969
Asia,43035
Asia,43240
